"Producto","Precio"
"[Bifocal] Bif. Flap Top Orgánico Blue Light Cut (Bifocales Flap Top) (Esferas: +5.50 a -4.00, Cilindros: +/- 4.00, Adición: 1.00 a 3.50)","$48,771"
"[Bifocal] Bif. Flap Top Orgánico Fotocromático Gris (Bifocales Flap Top) (Esferas: +5.50 a -4.00, Cilindros: +/- 4.00, Adición: 1.00 a 3.50)","$68,641"
"[Bifocal] Bif. Kriptock Invisible Organico Blue Light Cut (Bifocal Digital Invisible) (Esferas: +5.50 a -4.00, Cilindros: +/- 4.00, Adición: 1.00 a 3.50)","$73,988"
"[Bifocal] Bif. Kriptock Invisible Organico Blue Light Cut c/ Antirreflex (Bifocal Digital Invisible) (Esferas: +5.50 a -4.00, Cilindros: +/- 4.00, Adición: 1.00 a 3.50)","$95,294"
"[Bifocal] Bif. Kriptock Invisible Organico Blue Light Fotocromático Gris (Bifocal Digital Invisible) (Esferas: +5.50 a -4.00, Cilindros: +/- 4.00, Adición: 1.00 a 3.50)","$99,428"
"[Multifocal Digital] Orgánico BLUE LIGHT (Índice: 1.56) - Diseño One (Básico)","$80,696"
"[Multifocal Digital] Orgánico BLUE LIGHT (Índice: 1.56) - Diseño New (Intermedio)","$125,918"
"[Multifocal Digital] Orgánico BLUE LIGHT (Índice: 1.56) - Diseño Free (Avanzado)","$176,286"
"[Multifocal Digital] Orgánico BLUE LIGHT (Índice: 1.56) - Diseño Pro (Premium)","$194,385"
"[Multifocal Digital] Orgánico BLUE LIGHT c/ Antirreflex Block (Índice: 1.56) - Diseño One (Básico)","$103,870"
"[Multifocal Digital] Orgánico BLUE LIGHT c/ Antirreflex Block (Índice: 1.56) - Diseño New (Intermedio)","$148,413"
"[Multifocal Digital] Orgánico BLUE LIGHT c/ Antirreflex Block (Índice: 1.56) - Diseño Free (Avanzado)","$198,780"
"[Multifocal Digital] Orgánico BLUE LIGHT c/ Antirreflex Block (Índice: 1.56) - Diseño Pro (Premium)","$216,878"
"[Multifocal Digital] Org Fotocromático Grey (Índice: 1.56) - Diseño One (Básico)","$96,366"
"[Multifocal Digital] Org Fotocromático Grey (Índice: 1.56) - Diseño New (Intermedio)","$149,108"
"[Multifocal Digital] Org Fotocromático Grey (Índice: 1.56) - Diseño Free (Avanzado)","$208,750"
"[Multifocal Digital] Org Fotocromático Grey (Índice: 1.56) - Diseño Pro (Premium)","$230,181"
"[Multifocal Digital] Org Fotocromático Grey c/ Antirreflex Block (Índice: 1.56) - Diseño One (Básico)","$118,860"
"[Multifocal Digital] Org Fotocromático Grey c/ Antirreflex Block (Índice: 1.56) - Diseño New (Intermedio)","$171,601"
"[Multifocal Digital] Org Fotocromático Grey c/ Antirreflex Block (Índice: 1.56) - Diseño Free (Avanzado)","$231,243"
"[Multifocal Digital] Org Fotocromático Grey c/ Antirreflex Block (Índice: 1.56) - Diseño Pro (Premium)","$252,674"
"[Multifocal Digital] Org Fotocromático BLUELIGHT Grey (Índice: 1.56) - Diseño One (Básico)","$117,717"
"[Multifocal Digital] Org Fotocromático BLUELIGHT Grey (Índice: 1.56) - Diseño New (Intermedio)","$182,137"
"[Multifocal Digital] Org Fotocromático BLUELIGHT Grey (Índice: 1.56) - Diseño Free (Avanzado)","$236,769"
"[Multifocal Digital] Org Fotocromático BLUELIGHT Grey (Índice: 1.56) - Diseño Pro (Premium)","$261,095"
"[Multifocal Digital] Org Fotocromático BLUELIGHT (Índice: 1.56) - Diseño One (Básico)","$140,210"
"[Multifocal Digital] Org Fotocromático BLUELIGHT (Índice: 1.56) - Diseño New (Intermedio)","$204,630"
"[Multifocal Digital] Org Fotocromático BLUELIGHT (Índice: 1.56) - Diseño Free (Avanzado)","$259,262"
"[Multifocal Digital] Org Fotocromático BLUELIGHT (Índice: 1.56) - Diseño Pro (Premium)","$283,815"
"[Multifocal Digital] Policarbonato BLUE LIGHT (Índice: 1.59) - Diseño One (Básico)","$107,239"
"[Multifocal Digital] Policarbonato BLUE LIGHT (Índice: 1.59) - Diseño New (Intermedio)","$165,929"
"[Multifocal Digital] Policarbonato BLUE LIGHT (Índice: 1.59) - Diseño Free (Avanzado)","$232,301"
"[Multifocal Digital] Policarbonato BLUE LIGHT (Índice: 1.59) - Diseño Pro (Premium)","$256,152"
"[Multifocal Digital] Orgánico Super BlueLight (Índice: 1.60) - Diseño One (Básico)","$101,024"
"[Multifocal Digital] Orgánico Super BlueLight (Índice: 1.60) - Diseño New (Intermedio)","$128,034"
"[Multifocal Digital] Orgánico Super BlueLight (Índice: 1.60) - Diseño Free (Avanzado)","$179,248"
"[Multifocal Digital] Orgánico Super BlueLight (Índice: 1.60) - Diseño Pro (Premium)","$197,655"
"[Multifocal Digital] Orgánico Super BlueLight c/ Antirreflex Block (Índice: 1.60) - Diseño One (Básico)","$122,497"
"[Multifocal Digital] Orgánico Super BlueLight c/ Antirreflex Block (Índice: 1.60) - Diseño New (Intermedio)","$149,507"
"[Multifocal Digital] Orgánico Super BlueLight c/ Antirreflex Block (Índice: 1.60) - Diseño Free (Avanzado)","$200,721"
"[Multifocal Digital] Orgánico Super BlueLight c/ Antirreflex Block (Índice: 1.60) - Diseño Pro (Premium)","$219,127"
"[Ocupacional Digital] Orgánico Blue Light (Índice: 1.56)","$68,180"
"[Ocupacional Digital] Orgánico Blue Light c/ Antirreflex Block (Índice: 1.56)","$90,673"
"[Ocupacional Digital] Orgánico Blanco Alto Índice (Índice: 1.60)","$79,594"
"[Ocupacional Digital] Orgánico Super Blue Light c/ Antirreflex Block (Índice: 1.60)","$97,271"
"[Tratamientos] Antireflejo SMART Ultra Layer","$62,211"
"[Tratamientos] Antireflejo SMART Element","$44,986"
"[Tratamientos] Teñido Compacto","$9,523"
"[Tratamientos] Teñido Degradé","$10,780"
"[Calibrados y Trabajos] ORGANICO STOCK - Montura Completa (Biselado y Montaje)","$3,028"
"[Calibrados y Trabajos] ORGANICO STOCK - Ranurado / Semi al Aire (Biselado y Montaje)","$4,741"
"[Calibrados y Trabajos] ORGANICO STOCK - Perforado / Al Aire (Biselado y Montaje)","$10,184"
"[Calibrados y Trabajos] ORGANICO LABORATORIO - Montura Completa (Biselado y Montaje)","$5,075"
"[Calibrados y Trabajos] ORGANICO LABORATORIO - Ranurado / Semi al Aire (Biselado y Montaje)","$6,600"
"[Calibrados y Trabajos] ORGANICO LABORATORIO - Perforado / Al Aire (Biselado y Montaje)","$15,831"
"[Calibrados y Trabajos] PASE DE CRISTALES (Precio Único) - Montura Completa (Biselado y Montaje)","$7,275"
"[Calibrados y Trabajos] PASE DE CRISTALES (Precio Único) - Ranurado / Semi al Aire (Biselado y Montaje)","-"
"[Calibrados y Trabajos] PASE DE CRISTALES (Precio Único) - Perforado / Al Aire (Biselado y Montaje)","-"
