"Lentes de Stock Rango
Extendido",,,,,,,,,,
,,,,,,,,,,
Org Fotocromatico BLUELIGHTGrey,1.56,"$ 103,789","$ 160,586","$ 208,754","$ 230,202",,,,,
Org Fotocromatico BLUELIGHT,1.56,"$ 123,621","$ 180,418","$ 228,586","$ 250,234",,,,,
Policarbonato BLUE LIGHT,1.59,"$ 94,550","$ 146,296","$ 204,815","$ 225,844",,,,,
Organico Super BlueLight,1.60,"$ 89,071","$ 112,885","$ 158,039","$ 174,268",,,,,
Organico Super BlueLight ANTIRREFLEX BLOCK,1.60,"$ 108,003","$ 131,817","$ 176,971","$ 193,200",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
OCUPACIONAL DIGITAL,,,,,,,,,,
Organico Blue Light ,1.56,"$ 60,113",,,,,,,,
"Organico Blue Light , ANTIRREFLEX BLOCK",1.56,"$ 79,945",,,,,,,,
Organico Blanco Alto Indice1,1.60,"$ 70,177",,,,,,,,
Organico Super Blue Light ANTIRREFLEX BLOCK,1.60,"$ 85,762",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Tratamientos ,,,,,,,,,,
Antireflejo SMART Ultra Layer,"$ 54,850",,,,,,,,,
Antireflejo SMART Element,"$ 39,664",,,,,,,,,
,,,,,,,,,,
Teñido Compacto,"$ 8,396",,,,,,,,,
Teñido Degrade,"$ 9,505",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"CALIBRADOS
y TRATAMIENTOS",,,,,,,,,,
,Aro completo,Ranurado,Perforado,,,,,,,
ORGANICO STOCK,"$2,670","$4,180","$8,979",,,,,,,
ORGANICO LABORATORIO,"$4,475","$5,819","$13,958",,,,,,,
PASE DE CRISTALES,"$6,414",,,,,,,,,
